S.No,Review,Cleaned_Review,Sentiment
1,"The camera is good at this price range
Ram could be increased to 6gb atleast
The volume button feels Kind of cheap
But at this price point you can't really complaint",camera good price range ram could increased gb atleast volume button feels kind cheap price point cant really complaint,Positive
2,"At this price range every thing is very good.
Battery 🔋 not feels like 5000mh draining very fast but you know a long display and performance good enough.
When I open the box it seems like I am not who open it first . Screen has many fingerprints and screen tape have many bubbles .
And the end nice product by Motorola 👍😊",price range every thing good battery feels like mh draining fast know long display performance good enough open box seems like open first screen many fingerprints screen tape many bubbles end nice product motorola,Positive
3,"Beast :)
Leaf green color best ✅
Back camera 3.5/5✅
Front camera 5/5✅
Battery 5/5✅
Ram Booster upto 12 GB 🚀5/5 ✅
120hz refresh rate 🚀 5/5 ✅
Connectivity 5G speed 330+ mbps 5/5 ✅
Design vegan leather finish 5/5 ✅
Display 5/5✅
Sound crystal dolby 5/5 ✅
Charging 3/5 〽️",beast leaf green color best back camera front camera battery ram booster upto gb hz refresh rate connectivity g speed mbps design vegan leather finish display sound crystal dolby charging,Positive
4,Such an amazing smartphone in this price range ❤️,amazing smartphone price range,Positive
5,Received same day delivery. Looks good. Need to use for a week to provide experience. Camera is good. Option available to expand the ram upto 12gb,received day delivery looks good need use week provide experience camera good option available expand ram upto gb,Positive
6,For the price excellent mobile and very very prompt delivery from Flipkart. Was delivered in six hours 👌👍,price excellent mobile prompt delivery flipkart delivered six hours,Positive
7,One of the best product in this price,one best product price,Positive
8,Nice Phone budget segment me,nice phone budget segment,Positive
9,Camera is good network issue,camera good network issue,Positive
10,The value is in good shape,value good shape,Positive
11,"Pros-
- Display is Fantastic in this Category
- Performance is Good
- Battery backup is great
- Front Camera is great and back camera is more than average
- 5g Volte works all the time with jio

Cons-
- ui feels somewhere glitter in some apps",pros display fantastic category performance good battery backup great front camera great back camera average g volte works time jio cons ui feels somewhere glitter apps,Positive
12,"Moto g35 5g mobile
1. Display
2. Camera
3. Design and look
4. Processor
Brilliant 👍 according to price is very good
Thank you Filpkart and seller and all the Flipkart team Thank you 🙏",moto g g mobile display camera design look processor brilliant according price good thank filpkart seller flipkart team thank,Positive
13,"First 1hour usage felt the phone is too slow.

Will update after a week of usage.",first hour usage felt phone slow update week usage,Neutral
14,"I purchased this for home use

Worthy Mobile at this price

Look like a more than this price

Very attractive and happy to use

Tqq Moto and Flipkart",purchased home use worthy mobile price look like price attractive happy use tqq moto flipkart,Positive
15,Awesome in this price. After 8 days i write the review. Display is very nice. Battery is upto mark. 1 day backup after hard use. Performance is also good for gaming and normal tasks. Camera is good for that price. Over all good performance of moto g35. Thank you motorala.,awesome price days write review display nice battery upto mark day backup hard use performance also good gaming normal tasks camera good price good performance moto g thank motorala,Positive
16,"I have an iphone already and wanted to separate my Work and Personal Phones
I saw this phone and immediately knew this would be my 2nd phone
Specs and Built of 25k phone in 10k phone
So far So Good",iphone already wanted separate work personal phones saw phone immediately knew would nd phone specs built k phone k phone far good,Positive
17,"At this price product is really good. It works fast.
My rating
Display 5/5
Camera 4/5
Speaker 5/5
Processor 5/5",price product really good works fast rating display camera speaker processor,Positive
18,"The Moto G35 is a budget-friendly smartphone that offers decent performance for everyday tasks. It has a large, vibrant display, a long-lasting battery, and a capable camera system. However, the processor can be a bit slow at times, and the software support is not as long as some competitors. Overall, the Moto G35 is a solid choice for those looking for a reliable and affordable smartphone.💯💯",moto g budgetfriendly smartphone offers decent performance everyday tasks large vibrant display longlasting battery capable camera system however processor bit slow times software support long competitors overall moto g solid choice looking reliable affordable smartphone,Positive
19,"Best Budget 5g phone under 10k , you can definitely buy this phone",best budget g phone k definitely buy phone,Positive
20,This price range...it's awesome,price rangeits awesome,Positive
21,"Overall a good product.
Battery is not that great may be due to 5G.
Camera is average.
RAM management is ok ok.
Performance is average.
But for 10K it's a great deal",overall good product battery great may due g camera average ram management ok ok performance average k great deal,Positive
22,Excellent phone....love it...Orange colour is the best.,excellent phonelove itorange colour best,Positive
23,Fantastic phone 😍😍😍😍😍😍,fantastic phone,Positive
24,"This problem faced by me while using this phone
automatically broken like diplay show...
Please Fix it Motorola Very Disspointed..😥😫😒😒😒",problem faced using phone automatically broken like diplay show please fix motorola disspointed,Negative
25,Incredible,incredible,Neutral
26,Best phone under this price,best phone price,Positive
27,This phone is very good in this price range you can buy it,phone good price range buy,Positive
28,"Camera 3/5 ⭐
Display 4/5 ⭐
Performance 4/5 ⭐
Design 5/5 ⭐",camera display performance design,Neutral
29,"Nice Phone for Normal Use in this segment....buy it for my mother.... Everything is good.....But, Today I got the delivery of this phone and the same day a green line appeared on screen in my moto g52 suddenly.",nice phone normal use segmentbuy mother everything goodbut today got delivery phone day green line appeared screen moto g suddenly,Positive
30,Good phone and price range but ram can 6gb is better and mobile can heating issue noticed and also missing some future like back-home button passion is not customised future can solve in update to.,good phone price range ram gb better mobile heating issue noticed also missing future like backhome button passion customised future solve update,Positive
31,"I am personally fan of stock android,but this device of Motorola having very bad RAM management.motorala have to work on this",personally fan stock androidbut device motorola bad ram managementmotorala work,Negative
32,"Phone design is best but performance is not good
At this price range",phone design best performance good price range,Positive
33,"Don't buy this mobile @@@ Poco better @@
Internet verry slow don't buy my dear friends",dont buy mobile poco better internet verry slow dont buy dear friends,Negative
34,"This smartphone is too good
Thank you so much motorola company
I am very happy
This smartphone sound systems is outstanding",smartphone good thank much motorola company happy smartphone sound systems outstanding,Positive
35,Very nice design mobile phone,nice design mobile phone,Positive
36,"Nice product
Camera amazing 😍
Amazing battery
Display is so beautiful
And sound quality is super best Dolby Atmos support 🔥",nice product camera amazing amazing battery display beautiful sound quality super best dolby atmos support,Positive
37,"Good condition for my phone 📱 moto g35
Good camera 📸 and battery 🔋 is all
Working with side finger 🤞",good condition phone moto g good camera battery working side finger,Positive
38,Awesome Product. Must buy it without any doubt,awesome product must buy without doubt,Positive
39,Wow nice 🙂 design is very good 😊,wow nice design good,Positive
40,Good items,good items,Positive
41,"Back camera 3.5/5
Front camera 5/5
Display 5/5
Battery 4/5
Charging speed 3/5
Speaker 5/5
Design vegan leather finish 5/5
Brilliant according to price is very good 👍
Best phone under this price.",back camera front camera display battery charging speed speaker design vegan leather finish brilliant according price good best phone price,Positive
42,Nice Product 😃,nice product,Positive
43,"Great budget phone, super fast delivery by ekart, thanks to delivery person mr. Ajay..",great budget phone super fast delivery ekart thanks delivery person mr ajay,Positive
44,"It's delivered on the time.
Camera is little bit saturated and images going fade in 2x mode.
Battery usually drain more even in normal use.
Display is good in outside also you can see it.
Phone is not high functioning means it's hanging while you have 4 or more applications in background.",delivered time camera little bit saturated images going fade x mode battery usually drain even normal use display good outside also see phone high functioning means hanging applications background,Positive
45,"Nice allrounder phone in this price category. UI is nearly stock android and very nice to use. 5G is working nicely and getting good speeds. Phone works smoothly on normal use like phone calls, social media, watching webseries and anime etc... display and speakers are awesome in this category. Device doesn't heat up much on normal use. But, not that good for playing heavy games. It's okay for playing BGMI at 45 fps at a good graphics and it's stable. When it comes to games like Genshin impact...",nice allrounder phone price category ui nearly stock android nice use g working nicely getting good speeds phone works smoothly normal use like phone calls social media watching webseries anime etc display speakers awesome category device doesnt heat much normal use good playing heavy games okay playing bgmi fps good graphics stable comes games like genshin impact,Positive
46,"Design is great but Basic Apps are not available like Gallery, Music Player etc.",design great basic apps available like gallery music player etc,Positive
47,Value for money,value money,Positive
48,"The camera is good for this price range, and the overall performance is very good.",camera good price range overall performance good,Positive
49,Overall good @ this price. Premium look,overall good price premium look,Positive
50,Value for money,value money,Positive
51,Battery drain so fast,battery drain fast,Neutral
52,There is curve in upper display design so not getting suitable screen guard... battery drains very quickly,curve upper display design getting suitable screen guard battery drains quickly,Neutral
53,Newly ordered mobile's battery is not giving back up for hardly half a day. Also has problem with phone's speaker.,newly ordered mobiles battery giving back hardly half day also problem phones speaker,Negative
54,"Everything is amazing. Cameras, design, looks, feel, everything is great. The battery is lil avg due to such a bright and beautiful display☺️",everything amazing cameras design looks feel everything great battery lil avg due bright beautiful display,Positive
55,Very good product . Value for money ❤️❤️,good product value money,Positive
56,"First impression is very good . The camera is good at this price range . The display is also very good , performance till now is on point and haven't faced any issue till now, yes there is a slight lag during unlocking but thats still not a big deal . Hope its gets even more smooth after few updates",first impression good camera good price range display also good performance till point havent faced issue till yes slight lag unlocking thats still big deal hope gets even smooth updates,Positive
57,"Good 👍 😊😊😊😊😊 nice good camera good battery pickup nice product thank you Flipkart
😃😃😃😃😃❤️❤️❤️❤️👍👍👍👍👌👌👌👌🌹🌹🌹",good nice good camera good battery pickup nice product thank flipkart,Positive
58,Nice,nice,Positive
59,Buying the best choice brilliant 👌,buying best choice brilliant,Positive
60,Very nice 👍,nice,Positive
61,Very good product hai,good product hai,Positive
62,Nice mobile this price range,nice mobile price range,Positive
63,It's a good one,good one,Positive
64,Nice mobile,nice mobile,Positive
65,V good,v good,Positive
66,"The Motorola M35 impresses with its sharp display, long-lasting battery, and smooth performance. An excellent choice for anyone seeking quality and affordability",motorola impresses sharp display longlasting battery smooth performance excellent choice anyone seeking quality affordability,Positive
67,"Value for Money....
Under 10k",value money k,Positive
68,Highly recommended. Best 5g phone at this price.,highly recommended best g phone price,Positive
69,Thnks Moto G ✨🙏,thnks moto g,Neutral
70,Awesome,awesome,Positive
71,Very good,good,Positive
72,😊 good choice,good choice,Positive
73,Nice product in price range,nice product price range,Positive
74,Awesome product,awesome product,Positive
75,Nice phone to under 10 thousand,nice phone thousand,Positive
